Timestamp,Target_Deg,Actual_Pos,Current_A,Voltage_V
0.0000,0.0000,-49.0400,0.0000,0.0000
0.0956,1.2006,-46.8400,-0.6200,31.8000
0.1059,1.3301,-46.4900,0.0800,32.0300
0.1610,2.0193,-44.3900,0.0500,31.7600
0.1713,2.1481,-44.0400,-0.2400,31.6700
0.1814,2.2752,-43.6800,-0.1200,32.0300
0.1916,2.4013,-43.3300,0.4100,32.0600
0.2017,2.5278,-42.9800,0.3200,31.8100
0.2561,3.2047,-41.2300,-0.0300,31.6400
0.2664,3.3320,-40.8800,-0.1300,31.9100
0.2766,3.4586,-40.5300,0.1900,32.1200
0.2868,3.5845,-40.1800,0.4000,31.9600
0.2969,3.7099,-39.8300,0.1800,31.6700
0.3071,3.8351,-39.4800,-0.0600,31.8400
0.3604,4.4899,-37.3800,0.0700,32.0300
0.3709,4.6184,-37.0300,0.0500,31.7800
0.3810,4.7425,-36.6800,0.1300,31.6300
0.3912,4.8666,-36.3300,-0.0800,31.9300
0.4014,4.9909,-35.9800,-0.0200,32.0600
0.4427,5.4923,-34.5700,-0.0500,32.0300
0.4530,5.6155,-34.2300,0.1700,31.9300
0.4631,5.7374,-33.8800,0.0300,31.6100
0.4732,5.8592,-33.5300,-0.0200,31.8300
0.4834,5.9816,-33.1700,0.0000,32.0400
0.4937,6.1046,-32.8200,0.2700,31.9800
0.5038,6.2257,-32.4800,-0.0100,31.6800
0.5461,6.7281,-31.0700,0.0900,31.7900
0.5564,6.8498,-30.7200,0.0000,31.7900
0.5667,6.9722,-30.3700,-0.1000,31.9800
0.5770,7.0929,-30.0200,0.1400,32.0400
0.5871,7.2118,-29.6700,0.2800,31.8600
0.5974,7.3323,-29.3200,0.0400,31.7800
0.6076,7.4516,-28.9700,-0.0500,31.8900
0.6504,7.9475,-27.2200,-0.0500,31.9300
0.6607,8.0662,-26.8700,0.1500,31.9100
0.6709,8.1838,-26.5200,-0.0200,31.7500
0.6812,8.3012,-26.1700,-0.0600,31.8200
0.6914,8.4174,-25.8200,-0.1800,31.9300
0.7015,8.5328,-25.4700,0.0600,31.9500
0.7476,9.0531,-24.0600,0.1500,31.9500
0.7579,9.1683,-23.7200,0.0200,31.8100
0.7681,9.2823,-23.3600,0.1800,31.8900
0.7783,9.3950,-23.0100,0.0300,31.8900
0.7884,9.5071,-22.3100,0.0200,31.8400
0.7986,9.6192,-21.9600,0.2500,31.9300
0.8087,9.7308,-21.6100,0.0600,31.8500
0.8534,10.2179,-20.2100,0.1100,31.9100
0.8637,10.3289,-19.8600,0.0200,31.8700
0.8740,10.4395,-19.5100,0.1000,31.8600
0.8842,10.5487,-19.1600,-0.1200,31.9400
0.8945,10.6577,-18.8100,0.1000,31.9000
0.9046,10.7651,-18.4600,-0.0300,31.8600
0.9466,11.2061,-17.0600,-0.0100,31.8100
0.9570,11.3138,-16.7100,-0.1100,31.8100
0.9672,11.4193,-16.3600,-0.5100,31.8400
0.9776,11.5264,-16.0100,0.1700,31.9700
0.9877,11.6303,-15.6600,0.0500,31.8800
0.9978,11.7335,-15.3100,0.0000,31.7800
1.0080,11.8365,-14.9600,-0.4400,31.8000
1.0529,12.2874,-13.2000,0.1300,32.0700
1.0633,12.3896,-12.8500,0.5800,32.0100
1.0735,12.4899,-12.5000,0.2400,31.8200
