Time,Command_Torque,Position,Actual_Torque,Speed,Voltage
0.0004,0.0008,0.00,0.00,9728.00,0.00
0.0213,0.0426,0.00,0.00,9728.00,0.00
0.0418,0.0834,0.00,0.00,9728.00,0.00
0.0623,0.1242,0.00,0.00,9728.00,0.00
0.0828,0.1648,0.00,0.00,9728.00,0.00
0.1033,0.2052,0.00,0.00,9728.00,0.00
0.1239,0.2452,0.00,0.00,9728.00,0.00
0.1443,0.2846,0.00,0.00,9728.00,0.00
0.1647,0.3235,0.00,0.00,9728.00,0.00
0.1852,0.3620,0.00,0.00,9728.00,0.00
0.2057,0.3999,0.00,0.00,9728.00,0.00
0.2261,0.4370,0.00,0.00,9728.00,0.00
0.2466,0.4735,0.00,0.00,9728.00,0.00
0.2671,0.5091,0.00,0.00,9728.00,0.00
0.2876,0.5439,0.00,0.48,9728.00,0.03
0.3080,0.5778,0.10,0.56,9984.00,0.98
0.3285,0.6107,0.40,0.56,9984.00,1.21
0.3490,0.6426,0.80,0.62,9984.00,1.87
0.3694,0.6734,1.30,0.65,9984.00,2.41
0.3898,0.7030,2.00,0.64,9984.00,3.09
0.4102,0.7314,2.80,0.77,9984.00,3.93
0.4308,0.7588,3.80,0.71,9984.00,4.68
0.4514,0.7850,6.40,0.74,9984.00,6.42
0.4720,0.8099,8.00,0.68,9984.00,7.38
0.4924,0.8332,9.70,0.79,9984.00,8.20
0.5129,0.8551,11.70,0.80,9984.00,9.27
0.5334,0.8756,14.00,0.84,9984.00,10.30
0.5538,0.8947,16.50,0.85,9984.00,11.44
0.5743,0.9122,19.20,0.91,9984.00,12.45
0.5948,0.9282,22.20,0.85,9984.00,13.79
0.6153,0.9427,25.40,0.97,9984.00,14.81
0.6357,0.9555,28.90,1.00,9984.00,15.89
0.6562,0.9668,32.60,1.08,9984.00,17.19
0.6767,0.9764,36.60,0.99,9984.00,18.49
0.6972,0.9845,40.90,0.99,9984.00,19.77
0.7177,0.9909,45.50,1.03,9984.00,20.99
0.7383,0.9956,50.30,0.97,9984.00,22.24
0.7587,0.9986,55.40,1.11,9984.00,23.37
0.7791,0.9999,60.80,1.05,9984.00,24.61
0.7996,0.9996,66.50,0.80,9984.00,25.92
0.8200,0.9976,72.40,0.77,9984.00,27.18
0.8403,0.9940,78.60,1.23,9984.00,28.29
0.8608,0.9887,85.00,0.86,9984.00,29.59
0.8812,0.9817,91.80,1.09,9984.00,30.77
0.9016,0.9731,98.80,0.59,9984.00,32.02
0.9220,0.9629,106.00,0.95,9984.00,33.10
0.9424,0.9511,113.50,0.84,9984.00,34.21
0.9628,0.9377,121.20,0.80,9984.00,35.56
0.9832,0.9227,129.40,1.41,9984.00,37.11
1.0038,0.9061,137.90,0.31,9984.00,38.92
1.0242,0.8881,146.80,0.61,9984.00,40.67
1.0446,0.8686,156.00,0.10,9984.00,41.88
1.0651,0.8475,165.20,-0.01,9984.00,42.18
1.0856,0.8251,174.50,-0.02,9984.00,42.22
1.1061,0.8013,183.80,0.05,9984.00,42.24
1.1269,0.7757,193.10,0.13,9984.00,42.26
1.1476,0.7489,202.40,0.21,9984.00,42.29
1.1683,0.7208,211.70,0.22,9984.00,42.33
1.1890,0.6915,221.00,0.14,9984.00,42.34
1.2098,0.6609,230.30,0.07,9984.00,42.36
1.2303,0.6296,239.60,0.05,9984.00,42.37
1.2508,0.5971,258.20,0.03,9984.00,42.38
1.2715,0.5634,267.50,-0.06,9984.00,42.37
1.2920,0.5292,276.70,-0.05,9984.00,42.31
1.3125,0.4938,286.00,-0.09,9984.00,42.25
1.3330,0.4578,295.10,0.00,9984.00,41.48
1.3534,0.4211,303.90,0.00,9984.00,40.16
1.3739,0.3837,312.40,0.00,9984.00,38.74
1.3943,0.3456,320.70,0.00,9984.00,37.26
1.4148,0.3070,328.70,0.00,9984.00,36.11
1.4352,0.2679,336.40,0.00,9984.00,35.09
1.4557,0.2282,343.80,0.00,9984.00,33.46
1.4762,0.1881,351.00,0.00,9984.00,32.40
1.4966,0.1478,357.90,0.00,9984.00,31.04
1.5171,0.1072,364.50,0.00,9728.00,30.06
1.5376,0.0664,370.80,0.00,9984.00,28.69
1.5580,0.0256,377.00,0.00,9984.00,27.76
1.5784,-0.0153,382.80,0.00,9984.00,26.61
1.5988,-0.0561,388.40,0.00,9984.00,25.30
1.6193,-0.0968,393.80,0.00,9984.00,24.18
1.6397,-0.1374,398.90,0.00,9984.00,23.13
1.6601,-0.1777,403.80,0.00,9984.00,22.01
1.6806,-0.2178,408.40,0.00,9728.00,20.93
1.7010,-0.2575,412.80,0.00,9984.00,19.93
1.7215,-0.2968,417.00,0.00,9984.00,18.88
1.7419,-0.3355,421.00,0.00,9984.00,17.83
1.7624,-0.3740,424.70,0.00,9984.00,16.83
1.7829,-0.4116,428.30,0.00,9984.00,16.00
1.8034,-0.4487,431.60,0.00,9984.00,15.01
1.8239,-0.4848,434.70,0.00,9728.00,14.05
1.8443,-0.5202,437.70,0.00,9984.00,13.25
