Time,Command_Torque,Position,Actual_Torque,Speed,Voltage
1.8648,-0.5548,440.40,-0.66,9984.00,12.33
1.8853,-0.5883,442.80,-0.44,9984.00,10.53
1.9058,-0.6209,444.70,-0.48,9984.00,8.73
1.9262,-0.6524,446.30,-0.70,9984.00,6.76
1.9467,-0.6829,447.40,-0.63,9984.00,4.76
1.9672,-0.7123,448.00,-0.64,9984.00,2.73
1.9877,-0.7405,448.20,-0.72,9984.00,0.45
2.0082,-0.7675,448.00,-0.68,9984.00,-1.02
2.0287,-0.7931,447.50,-0.74,9984.00,-2.35
2.0492,-0.8174,446.80,-0.77,9984.00,-3.42
2.0698,-0.8404,445.80,-0.87,9984.00,-4.58
2.0903,-0.8619,444.60,-0.85,9984.00,-5.68
2.1109,-0.8821,441.40,-0.80,9984.00,-8.08
2.1315,-0.9007,439.40,-0.87,9984.00,-9.36
2.1519,-0.9177,437.10,-1.01,9984.00,-10.56
2.1723,-0.9332,434.50,-0.97,9984.00,-11.93
2.1927,-0.9470,431.60,-0.88,9984.00,-13.28
2.2132,-0.9594,428.50,-1.08,9984.00,-14.46
2.2337,-0.9701,425.00,-0.85,9984.00,-15.88
2.2541,-0.9792,421.30,-1.08,9984.00,-17.23
2.2746,-0.9867,417.30,-1.13,9984.00,-18.52
2.2951,-0.9925,413.00,-0.89,9984.00,-19.87
2.3156,-0.9967,408.40,-0.87,9984.00,-21.17
2.3361,-0.9992,403.50,-1.08,9984.00,-22.40
2.3565,-1.0000,398.30,-1.04,9984.00,-23.69
2.3770,-0.9991,392.90,-1.06,9984.00,-24.88
2.3975,-0.9966,387.20,-1.00,9984.00,-25.99
2.4179,-0.9924,381.20,-1.19,9984.00,-27.31
2.4384,-0.9865,375.00,-0.99,9984.00,-28.64
2.4588,-0.9790,368.50,-1.23,9984.00,-29.58
2.4793,-0.9699,361.80,-0.80,9984.00,-30.97
2.4997,-0.9591,354.80,-1.30,9984.00,-31.78
2.5201,-0.9467,347.50,-1.06,9984.00,-33.10
2.5405,-0.9328,340.10,-1.22,9984.00,-33.95
2.5610,-0.9173,332.40,-0.66,9984.00,-34.92
2.5814,-0.9003,324.50,-0.78,9984.00,-36.38
2.6018,-0.8818,316.20,-0.80,9984.00,-37.98
2.6222,-0.8618,307.70,-0.76,9984.00,-39.41
2.6426,-0.8404,298.70,-0.60,9984.00,-40.98
2.6630,-0.8175,289.50,-0.81,9984.00,-41.88
2.6835,-0.7933,280.20,-0.69,9984.00,-42.10
2.7039,-0.7678,271.00,-0.73,9984.00,-42.15
2.7244,-0.7409,261.70,-0.68,9984.00,-42.19
2.7448,-0.7129,252.40,-0.59,9984.00,-42.23
2.7652,-0.6837,243.10,-0.45,9984.00,-42.26
2.7856,-0.6534,233.90,-0.32,9984.00,-42.27
2.8060,-0.6220,224.60,-0.40,9984.00,-42.29
2.8264,-0.5894,215.30,-0.30,9984.00,-42.31
2.8468,-0.5561,206.00,-0.18,9984.00,-42.35
2.8672,-0.5216,196.80,-0.09,9984.00,-42.36
2.8876,-0.4864,187.50,-0.03,9984.00,-42.37
2.9080,-0.4504,178.20,0.00,9984.00,-42.31
2.9284,-0.4135,169.10,0.00,9728.00,-41.27
2.9490,-0.3758,160.30,0.00,9728.00,-39.96
2.9694,-0.3375,151.80,0.00,9728.00,-38.57
2.9899,-0.2988,143.60,0.00,9728.00,-37.21
3.0103,-0.2595,135.60,0.00,9728.00,-35.92
3.0308,-0.2199,127.90,0.00,9728.00,-34.80
3.0512,-0.1799,113.40,0.00,9728.00,-32.26
3.0717,-0.1394,106.60,0.00,9728.00,-31.03
3.0921,-0.0989,100.00,0.00,9728.00,-29.82
3.1124,-0.0583,93.60,0.00,9728.00,-28.65
3.1327,-0.0177,87.60,0.00,9728.00,-27.52
3.1532,0.0231,81.70,0.00,9728.00,-26.32
3.1735,0.0637,76.20,0.00,9728.00,-25.23
3.1938,0.1042,70.80,0.00,9728.00,-24.04
3.2141,0.1446,65.80,0.00,9728.00,-23.03
3.2345,0.1847,60.90,0.00,9728.00,-21.93
3.2548,0.2244,56.30,0.00,9728.00,-20.86
3.2752,0.2640,52.00,0.00,9728.00,-19.79
3.2956,0.3032,47.80,0.00,9728.00,-18.70
3.3160,0.3419,43.90,0.00,9728.00,-17.76
3.3364,0.3799,40.20,0.00,9728.00,-16.62
3.3568,0.4173,36.70,0.00,9728.00,-15.67
3.3772,0.4540,33.50,0.00,9728.00,-14.83
3.3976,0.4900,30.40,0.00,9728.00,-13.90
3.4180,0.5252,27.50,0.00,9728.00,-12.88
3.4385,0.5595,24.90,0.60,9984.00,-11.71
3.4588,0.5927,22.70,0.64,9984.00,-9.72
3.4793,0.6252,20.90,0.68,9984.00,-8.03
3.4996,0.6564,19.50,0.68,9984.00,-5.97
3.5199,0.6865,18.60,0.62,9984.00,-3.96
3.5404,0.7156,18.10,0.72,9984.00,-1.79
3.5608,0.7436,18.00,0.74,9984.00,-0.31
3.5813,0.7704,18.10,0.74,9984.00,0.45
3.6017,0.7957,18.30,0.76,9984.00,0.75
3.6221,0.8198,18.60,0.82,9984.00,2.03
3.6426,0.8426,19.30,0.88,9984.00,3.08
3.6631,0.8639,20.20,0.86,9984.00,4.25
3.6836,0.8839,21.30,0.87,9984.00,5.46
3.7041,0.9023,22.70,0.97,9984.00,6.58
3.7245,0.9191,24.40,0.83,9984.00,7.74
3.7450,0.9345,26.40,0.85,9984.00,9.10
3.7655,0.9483,28.60,1.08,9984.00,10.16
3.7861,0.9605,31.10,0.95,9984.00,11.64
3.8065,0.9711,33.80,1.09,9984.00,12.83
3.8270,0.9801,36.90,0.93,9984.00,14.09
3.8475,0.9874,40.30,0.86,9984.00,15.57
3.8679,0.9930,43.90,0.94,9984.00,16.78
3.8884,0.9970,47.90,0.92,9984.00,18.10
3.9088,0.9993,52.10,1.06,9984.00,19.34
3.9293,1.0000,56.60,0.96,9984.00,20.60
3.9498,0.9990,61.40,1.04,9984.00,21.92
3.9702,0.9963,66.50,0.85,9984.00,23.25
3.9907,0.9919,71.80,0.96,9984.00,24.46
4.0111,0.9859,83.30,1.16,9984.00,26.92
4.0317,0.9782,89.50,0.70,9984.00,28.29
4.0524,0.9687,95.90,1.14,9984.00,29.42
4.0728,0.9578,102.60,0.85,9984.00,30.55
4.0933,0.9452,109.60,1.07,9984.00,31.72
4.1137,0.9311,116.80,0.86,9984.00,32.87
4.1342,0.9153,124.20,0.94,9984.00,33.91
4.1546,0.8981,131.80,0.80,9984.00,34.97
4.1751,0.8793,139.80,0.91,9984.00,36.47
4.1956,0.8591,148.10,0.71,9984.00,38.09
4.2161,0.8375,156.80,0.63,9984.00,39.78
4.2365,0.8144,165.80,0.53,9984.00,41.33
4.2571,0.7899,175.10,0.23,9984.00,42.11
4.2775,0.7642,184.30,0.17,9984.00,42.30
4.2980,0.7371,193.60,0.07,9984.00,42.35
4.3184,0.7089,202.90,0.19,9984.00,42.38
4.3389,0.6794,212.20,0.19,9984.00,42.40
4.3594,0.6488,221.50,0.06,9984.00,42.40
4.3798,0.6171,230.80,0.13,9984.00,42.37
4.4003,0.5845,240.10,0.11,9984.00,42.38
4.4207,0.5508,249.40,0.06,9984.00,42.38
4.4412,0.5162,258.70,0.06,9984.00,42.35
4.4616,0.4808,267.90,0.05,9984.00,42.32
4.4819,0.4448,277.20,0.00,9984.00,42.04
4.5023,0.4079,286.10,0.00,9984.00,40.84
4.5228,0.3701,294.80,0.00,9984.00,39.52
4.5433,0.3318,303.20,0.00,9728.00,38.07
4.5637,0.2929,311.30,0.00,9984.00,36.63
4.5842,0.2536,319.20,0.00,9984.00,35.59
4.6046,0.2139,326.80,0.00,9728.00,34.49
4.6251,0.1737,334.10,0.00,9728.00,32.96
4.6455,0.1333,341.10,0.00,9984.00,32.03
4.6660,0.0927,347.90,0.00,9984.00,30.52
4.6864,0.0519,354.40,0.00,9984.00,29.60
4.7068,0.0111,360.70,0.00,9984.00,28.24
4.7273,-0.0298,366.60,0.00,9728.00,27.08
4.7477,-0.0706,372.40,0.00,9984.00,26.16
4.7681,-0.1112,377.90,0.00,9984.00,25.06
4.7885,-0.1517,383.20,0.00,9728.00,23.84
4.8089,-0.1919,388.20,0.00,9984.00,22.68
4.8293,-0.2318,393.00,0.00,9984.00,21.60
4.8498,-0.2714,397.60,0.00,9984.00,20.52
4.8703,-0.3106,401.90,0.00,9984.00,19.50
4.8908,-0.3492,409.90,0.00,9984.00,17.59
4.9113,-0.3875,413.60,0.00,9984.00,16.56
4.9319,-0.4250,417.00,0.00,9984.00,15.55
4.9523,-0.4615,420.20,0.00,9984.00,14.56
4.9726,-0.4973,423.30,0.00,9984.00,13.75
4.9930,-0.5323,426.10,0.00,9984.00,12.79
