Time,Command_Torque,Position,Actual_Torque,Speed,Voltage
0.0003,0.0006,444.80,0.00,9984.00,0.00
0.0212,0.0425,444.80,0.00,9984.00,0.00
0.0418,0.0835,444.80,0.00,9984.00,0.00
0.0623,0.1242,444.80,0.00,9984.00,0.00
0.0828,0.1648,444.80,0.00,9984.00,0.00
0.1034,0.2054,444.80,0.00,9984.00,0.00
0.1240,0.2454,444.80,0.00,9984.00,0.00
0.1445,0.2849,444.80,0.00,9984.00,0.00
0.1649,0.3238,444.80,0.00,9984.00,0.00
0.1852,0.3620,444.80,0.00,9984.00,0.00
0.2056,0.3997,444.80,0.00,9984.00,0.00
0.2262,0.4372,444.80,0.00,9984.00,0.00
0.2467,0.4737,444.80,0.00,9984.00,0.00
0.2672,0.5094,444.80,0.00,9984.00,0.00
0.2878,0.5443,444.80,0.52,9984.00,0.00
0.3082,0.5781,444.80,0.57,9984.00,0.09
0.3287,0.6111,444.80,0.58,9984.00,0.12
0.3492,0.6431,444.90,0.58,9984.00,0.40
0.3697,0.6739,445.20,0.62,9984.00,1.49
0.3901,0.7034,446.30,0.60,9984.00,3.05
0.4106,0.7320,447.10,0.68,9984.00,3.94
0.4311,0.7593,448.20,0.67,9984.00,4.82
0.4517,0.7855,449.40,0.78,9984.00,5.81
0.4722,0.8101,450.90,0.75,9984.00,6.70
0.4926,0.8334,452.50,0.94,9984.00,7.67
0.5131,0.8553,454.40,0.87,9984.00,8.80
0.5335,0.8758,456.60,0.92,9984.00,9.93
0.5540,0.8948,459.00,0.82,9984.00,11.07
0.5744,0.9123,461.60,0.86,9984.00,12.14
0.5949,0.9283,464.50,0.99,9984.00,13.43
0.6153,0.9427,467.70,1.03,9984.00,14.71
0.6358,0.9556,471.10,0.95,9984.00,15.88
0.6563,0.9668,474.90,0.91,9984.00,17.20
0.6768,0.9765,478.90,1.11,9984.00,18.41
0.6972,0.9845,483.20,0.90,9984.00,19.74
0.7177,0.9908,487.80,0.86,9984.00,21.04
0.7383,0.9956,492.70,0.97,9984.00,22.34
0.7588,0.9986,497.80,1.04,9984.00,23.69
0.7792,0.9999,503.30,1.08,9984.00,25.06
0.7997,0.9996,509.10,1.13,9984.00,26.37
0.8202,0.9976,515.10,1.15,9984.00,27.50
0.8406,0.9939,521.40,0.78,9984.00,28.97
0.8610,0.9886,528.00,0.69,9984.00,30.22
0.8814,0.9816,534.90,1.02,9984.00,31.43
0.9019,0.9730,542.00,0.92,9984.00,32.64
