Time,Command_Torque,Position,Actual_Torque,Speed,Voltage
0.0001,0.0003,2970.80,0.00,9984.00,0.00
0.0205,0.0409,2970.80,0.00,9984.00,0.00
0.0408,0.0814,2970.80,0.00,9984.00,0.00
0.0610,0.1217,2970.80,0.00,9984.00,0.00
0.0812,0.1617,2970.80,0.00,9984.00,0.00
0.1016,0.2017,2970.80,0.00,9984.00,0.00
0.1218,0.2413,2970.80,0.00,9984.00,0.00
0.1421,0.2804,2970.80,0.00,9984.00,0.00
0.1623,0.3190,2970.80,0.00,9984.00,0.00
0.1828,0.3576,2970.80,0.00,9984.00,0.00
0.2030,0.3950,2970.80,0.00,9984.00,0.00
0.2232,0.4318,2970.80,0.00,9984.00,0.00
0.2435,0.4680,2970.80,0.00,9984.00,0.00
0.2638,0.5034,2970.80,0.00,9984.00,0.00
0.2841,0.5381,2970.80,0.51,9984.00,0.02
0.3044,0.5718,2970.80,0.55,9984.00,0.00
0.3247,0.6046,2970.80,0.58,9984.00,0.00
0.3450,0.6365,2970.80,0.62,10240.00,0.00
0.3652,0.6672,2970.80,0.63,9984.00,0.00
0.3855,0.6969,2970.80,0.66,9984.00,0.01
0.4058,0.7254,2970.80,0.72,9984.00,0.03
0.4261,0.7527,2970.80,0.73,9984.00,0.07
0.4463,0.7787,2970.80,0.74,9984.00,0.34
0.4670,0.8040,2971.20,0.79,9984.00,1.62
0.4873,0.8275,2971.70,0.78,9984.00,2.05
0.5076,0.8496,2972.30,0.78,9984.00,2.73
0.5279,0.8703,2973.00,0.84,9984.00,3.45
0.5481,0.8895,2973.90,0.87,9984.00,4.26
0.5684,0.9073,2975.00,0.85,9984.00,5.08
0.5886,0.9236,2976.30,0.91,9984.00,5.85
0.6089,0.9383,2977.80,0.99,9984.00,6.74
0.6291,0.9515,2979.40,0.99,9984.00,7.53
0.6494,0.9633,2981.20,0.92,9984.00,8.36
0.6696,0.9733,2983.20,0.96,9984.00,9.24
0.6899,0.9818,2985.40,1.02,9984.00,10.11
0.7101,0.9887,2987.80,1.00,9984.00,11.05
0.7304,0.9939,2990.40,0.95,9984.00,11.95
0.7510,0.9976,2993.30,1.05,9984.00,12.92
0.7712,0.9996,2996.30,1.04,9984.00,13.95
0.7915,0.9999,2999.50,0.94,9984.00,14.77
0.8118,0.9986,3003.00,1.01,9984.00,15.80
0.8320,0.9957,3006.60,1.02,9984.00,16.77
0.8523,0.9911,3010.50,1.06,9984.00,17.84
0.8725,0.9849,3014.60,0.94,9984.00,18.81
0.8928,0.9770,3018.90,0.99,9984.00,19.79
0.9130,0.9676,3023.50,1.02,10240.00,20.76
0.9332,0.9566,3028.20,0.97,9984.00,21.74
0.9536,0.9440,3033.20,0.94,9984.00,22.70
0.9738,0.9298,3038.40,1.04,9984.00,23.64
0.9941,0.9141,3043.70,0.93,9984.00,24.54
1.0144,0.8970,3049.30,0.72,9984.00,25.54
1.0346,0.8783,3055.10,0.91,9984.00,26.28
1.0549,0.8582,3061.10,0.73,9984.00,27.43
1.0751,0.8368,3067.30,0.84,9984.00,28.81
1.0954,0.8139,3073.90,0.73,9984.00,29.98
1.1157,0.7896,3080.70,0.31,9984.00,31.26
1.1360,0.7640,3087.70,0.14,9984.00,31.53
1.1563,0.7373,3094.70,0.22,10240.00,31.81
1.1765,0.7094,3101.60,0.06,9984.00,31.60
1.1967,0.6803,3108.60,0.18,9984.00,31.82
1.2174,0.6494,3119.10,0.25,10240.00,31.78
1.2377,0.6180,3126.00,0.20,9984.00,31.69
1.2580,0.5856,3133.00,0.22,9984.00,31.73
1.2783,0.5521,3140.00,0.13,9984.00,31.73
1.2989,0.5174,3146.90,0.26,9984.00,31.62
1.3191,0.4824,3153.90,0.17,9984.00,31.69
1.3394,0.4465,3160.70,0.00,9984.00,31.03
1.3597,0.4097,3167.40,0.00,9984.00,30.10
1.3802,0.3720,3173.80,0.00,9984.00,29.09
1.4004,0.3342,3179.90,0.00,9984.00,27.70
1.4207,0.2956,3185.90,0.00,9984.00,27.05
1.4410,0.2567,3191.60,0.00,9984.00,26.13
1.4613,0.2173,3197.20,0.00,9984.00,24.99
1.4815,0.1777,3200.00,0.00,9984.00,23.72
